condition,time_after_first_command_s,detected,yolo_detected_after_threshold,yolo_score_selected,pixel_pose_available,pixel_pose_age_s,true_x,true_y,state_x,state_y,state_pos_error,pred_world_x_calibrated,pred_world_y_calibrated,localization_error_calibrated_m,obs_u,obs_v,bbox_xmin,bbox_ymin,bbox_xmax,bbox_ymax,mask_bottom_u,mask_bottom_v,mask_area_px,yolo_inference_ms,yolo_latency_s
C2,0.21000000000000085,1,1.0,0.7385491728782654,1,0.713000000000001,3.3499999999999672,-1.5499999999954424,3.3596567361105474,-1.6406067243985292,0.0911198719235618,3.3596567361105474,-1.5906067243985291,0.04173917367483,1024.9420028348095,377.6792245624805,1012.6923217773438,354.71551513671875,1037.9556884765625,375.1268005371094,1017.3333129882812,384.0,711.1109754778445,51.51694699998188,0.0514473915100097
C2,0.3879999999999981,1,1.0,0.733991801738739,1,0.5280000000000022,3.349999999999824,-1.5499999999950056,3.3318987695315245,-1.6657483648254183,0.117155189835452,3.3470477013157462,-1.5754256848434285,0.0255965137769055,1024.9944673526988,373.9115281151176,1012.6930541992188,354.7456970214844,1037.94482421875,375.13275146484375,1017.3333129882812,384.0,711.1109754778445,48.93811800002368,0.0488421916961669
C2,0.5600000000000023,1,1.0,0.7648072838783264,1,0.7000000000000028,3.3499999999994707,-1.5499999999943517,3.3470477013157462,-1.6254256848434283,0.0754834419092703,3.3470477013157462,-1.5754256848434285,0.0255965137775146,1026.165258390632,375.08952189503566,1013.2101440429688,354.6181030273437,1038.716552734375,375.12835693359375,1018.6666870117188,384.0,856.8902452252805,56.23778399996127,0.0561869144439697
C2,0.7469999999999999,1,1.0,0.7496685981750488,1,0.5240000000000009,3.34999999999924,-1.54999999999402,3.352603960934528,-1.6380709442135073,0.0881094309836612,3.370596184396275,-1.5785688192422176,0.0352190324249955,1027.8358558031662,374.2040374622209,1013.7783203125,354.1327514648437,1039.7607421875,375.1256713867188,1022.6666564941406,384.0,526.221421983093,57.171722999953545,0.0570502281188964
C2,0.945999999999998,1,1.0,0.7500249743461609,1,0.7230000000000025,3.3499999999991075,-1.5499999999939178,3.370596184396275,-1.6285688192422176,0.0812235321184331,3.370596184396275,-1.5785688192422176,0.0352190324251555,1028.0049122439796,375.8783832361993,1014.530517578125,353.934326171875,1039.869873046875,375.025634765625,1024.000030517578,384.0,558.2223578561097,104.96233199995686,0.1048681735992431
C2,1.115000000000002,1,1.0,0.7954103946685791,1,0.5290000000000035,3.349999999999349,-1.5499999999940353,3.365472470032199,-1.6465195505694603,0.0977518336001912,3.362502011026124,-1.587741046623539,0.0397578530658282,1027.291419153377,375.0587518182227,1015.9423828125,353.7803649902344,1039.975830078125,374.8955078125,1024.000030517578,384.0,593.7781304251403,49.69345899996824,0.0496382713317871
C2,1.2699999999999996,1,1.0,0.805854320526123,1,0.684000000000001,3.349999999999868,-1.5499999999942409,3.362502011026124,-1.6377410466235391,0.0886272618515619,3.362502011026124,-1.587741046623539,0.0397578530654699,1028.2208837853332,377.25645260509066,1016.80908203125,352.9119567871094,1041.294189453125,374.91064453125,1024.000030517578,384.0,600.888902451843,58.8864800000124,0.058833360671997
C2,1.436,1,1.0,0.8021866083145142,1,0.5199999999999996,3.350000000000193,-1.549999999994314,3.361935743392855,-1.6612413107823143,0.1118798069187108,3.379094812235224,-1.5816203614604918,0.0429692373477052,1028.9430161994385,374.4882097360188,1017.5927734375,353.0758056640625,1041.7015380859375,374.9412841796875,1024.000030517578,384.0,625.7776421438903,45.98169700000199,0.0459058284759521
C2,1.6379999999999981,1,1.0,0.806228518486023,1,0.7220000000000013,3.3500000000002808,-1.5499999999943228,3.379094812235224,-1.6316203614604918,0.0866509752100612,3.379094812235224,-1.5816203614604918,0.0429692373476391,1028.7151373198335,374.7456755998268,1017.6456909179688,352.86395263671875,1041.916259765625,375.091796875,1025.3333435058594,384.0,650.6661783847958,46.98323200000232,0.04689621925354
C2,1.8160000000000025,1,1.0,0.8055651187896729,1,0.5370000000000026,3.35000000000005,-1.549999999994364,3.376098350292384,-1.634383409103151,0.0883271397748295,3.379923855049588,-1.5978447495960466,0.0564318807543524,1029.7273698229126,376.0022556880791,1017.6149291992188,352.985595703125,1041.8515625,375.2344665527344,1025.3333435058594,384.0,661.3330078125,57.97754400003896,0.0578892230987548
C2,1.995000000000001,1,1.0,0.7988967895507812,1,0.5180000000000007,3.2947111664644027,-1.5696064177903963,3.379923855049588,-1.6478447495960469,0.11568249158644,3.3802024864093454,-1.5879432899406851,0.0874357287736803,1029.3387321039345,375.0776232581253,1017.42724609375,352.4858093261719,1042.47119140625,375.2633972167969,1024.000030517578,384.0,625.7776421438903,56.41845100001319,0.0562171936035156
C2,2.192,1,1.0,0.8018628358840942,1,0.5500000000000007,3.2264705214188334,-1.607109900443847,3.3802024864093454,-1.6379432899406852,0.1567935424936491,3.37323350362753,-1.582743932492741,0.1487718835700633,1028.315901991008,374.59288585917136,1016.7033081054688,351.82989501953125,1042.761474609375,375.4202880859375,1025.3333435058594,384.0,661.3330078125,62.00827100002471,0.0619301795959472
C2,2.3800000000000026,1,1.0,0.8037958741188049,1,0.5400000000000027,3.1398832828736287,-1.6612513524691446,3.37323350362753,-1.632743932492741,0.2350850878290782,3.395036037462041,-1.6029890511621636,0.2617201251865054,1031.6898285543698,376.483442898726,1015.630859375,351.82574462890625,1042.2371826171875,375.4421997070313,1025.3333435058594,384.0,650.6661783847958,49.85998000000791,0.0496559143066406
C2,2.575000000000003,1,1.0,0.7824546098709106,1,0.5370000000000026,3.060369200253917,-1.7057643638959543,3.395036037462041,-1.6529890511621637,0.3388024875366744,3.3179019628684125,-1.581757689483961,0.2858334814513097,1021.9052825012916,374.5009816647217,1008.5238037109376,352.221923828125,1036.849609375,375.83837890625,1014.6666564941406,384.0,561.7778049046174,102.4752359999752,0.1023468971252441
C2,2.770000000000003,1,1.0,0.8851942420005798,1,0.5340000000000025,2.961003143797742,-1.7545926303562192,3.3179019628684125,-1.6317576894839607,0.3774456116490566,3.2390752206415105,-1.6415797690920966,0.3001599352533755,1015.2780487611972,380.11035870103314,1002.1300659179688,355.5897216796875,1030.377197265625,380.1320495605469,1009.3333129882812,384.0,938.6679687509312,62.62561199997663,0.0625648498535156
