stamp,source,odom_x,odom_y,odom_yaw,cmd_v,cmd_w,pix_u,pix_v,pix_yaw
12.173,odom,0.42193585534948647,0.020155598614944283,0.0677064700367561,0.21999207615919347,-0.016974728138765074,,,
12.079,pixel,,,,,,603.885986328125,596.0245361328125,0.0
12.193,odom,0.42632566636665997,0.020452523647604574,0.0673669754768583,0.21999207615919347,-0.016974728138765074,,,
12.112,pixel,,,,,,604.6365966796875,595.4090576171875,0.0
12.213,odom,0.4307155446803314,0.020747879178722138,0.06698871322339715,0.2199899378518,-0.019128488894430716,,,
12.145,pixel,,,,,,605.4151000976562,594.7742919921875,0.0
12.233,odom,0.4351055313364022,0.021041555912815254,0.06660614344839341,0.21997991617053583,-0.027024658805361826,,,
12.178,pixel,,,,,,606.2186889648438,594.2734375,0.0
12.253,odom,0.4394954608008266,0.02133322767462436,0.06607354644520144,0.21997991617053583,-0.027024658805361826,,,
12.273,odom,0.44388553721346163,0.021622526872132234,0.06553305327197045,0.21997991617053583,-0.027024658805361826,,,
12.211,pixel,,,,,,607.0933837890625,593.6357421875,0.0
12.293,odom,0.44827577639751237,0.021909458662790256,0.06499758221718106,0.21998073698949366,-0.02646664564499532,,,
12.313,odom,0.4526661763406248,0.022194059689572644,0.06446824930716469,0.21998073698949366,-0.02646664564499532,,,
12.244,pixel,,,,,,607.842041015625,593.0960693359375,0.0
12.333,odom,0.4570567263173398,0.02247633669341411,0.06393891639715388,0.21998073698949366,-0.02646664564499532,,,
12.277,pixel,,,,,,608.6185302734375,592.5162353515625,0.0
12.353,odom,0.46144737271397385,0.02275625154556878,0.0633745822010826,0.219974660139763,-0.030355677436799802,,,
12.373,odom,0.4658381182581777,0.023033548158063185,0.06276746865523967,0.219974660139763,-0.030355677436799802,,,
12.393,odom,0.47022903134371535,0.023308179038520106,0.06216035510939678,0.219974660139763,-0.030355677436799802,,,
12.31,pixel,,,,,,609.4112548828125,591.9283447265625,0.0
12.413,odom,0.4746200596438178,0.02358009674656138,0.06152238452967407,0.21997054247097397,-0.03272929543048921,,,
12.343,pixel,,,,,,610.1768798828125,591.3505859375,0.0
12.433,odom,0.4790112354418426,0.023849151090617415,0.06086779862395749,0.21996118212277457,-0.037571274721378514,,,
12.453,odom,0.4834024619071839,0.024115218874935323,0.06014542500824703,0.21996118212277457,-0.037571274721378514,,,
12.376,pixel,,,,,,611.0625,590.7824096679688,0.0
12.473,odom,0.48779382985120406,0.024378002672506855,0.05939399951671243,0.21996118212277457,-0.037571274721378514,,,
12.493,odom,0.49218539401787886,0.02463748661038455,0.05864257402518407,0.21996141539055913,-0.03745821300948781,,,
12.409,pixel,,,,,,611.7376098632812,590.2113037109375,0.0
12.513,odom,0.4965771558852461,0.024893674808418732,0.05789318364447034,0.21996141539055913,-0.03745821300948781,,,
12.442,pixel,,,,,,612.5980224609375,589.6824951171875,0.0
12.533,odom,0.5009691089158363,0.025146572761172582,0.057144019387181416,0.21995244396977362,-0.041585724666174946,,,
