stamp,x,y,yaw,cov_x,cov_y,cov_yaw,cmd_v,cmd_w,goal_x,goal_y,goal_dist,plan_points,plan_length,efe_total,efe_risk,efe_ambiguity,efe_control,efe_boundary,efe_visibility,seed
448.966,-3.375514080527231,-2.6256300926210088,0.9568704012705833,0.0,0.0,1e-12,0.0,0.0,4.4,3.8,10.086988713370998,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
448.966,-3.375514080527231,-2.6256300926210088,0.9568704012705833,0.0,0.0,1e-12,0.0,0.0,4.4,3.8,10.086988713370998,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
448.966,-3.375514080527231,-2.6256300926210088,0.9568704012705833,0.0,0.0,1e-12,0.0,0.0,4.4,3.8,10.086988713370998,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
448.966,-3.375514080527231,-2.6256300926210088,0.9568704012705833,0.0,0.0,1e-12,0.0,0.0,4.4,3.8,10.086988713370998,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
448.966,-3.375514080527231,-2.6256300926210088,0.9568704012705833,0.0,0.0,1e-12,0.0,0.0,4.4,3.8,10.086988713370998,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
448.966,-3.375514080527231,-2.6256300926210088,0.9568704012705833,0.0,0.0,1e-12,0.0,0.0,4.4,3.8,10.086988713370998,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
448.966,-3.375514080527231,-2.6256300926210088,0.9568704012705833,0.0,0.0,1e-12,0.0,0.0,4.4,3.8,10.086988713370998,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
448.966,-3.375514080527231,-2.6256300926210088,0.9568704012705833,0.0,0.0,1e-12,0.0,0.0,4.4,3.8,10.086988713370998,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
448.966,-3.375514080527231,-2.6256300926210088,0.9568704012705833,0.0,0.0,1e-12,0.0,0.0,4.4,3.8,10.086988713370998,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
448.966,-3.375514080527231,-2.6256300926210088,0.9568704012705833,0.0,0.0,1e-12,0.0,0.0,4.4,3.8,10.086988713370998,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
448.966,-3.375514080527231,-2.6256300926210088,0.9568704012705833,0.0,0.0,1e-12,0.0,0.0,4.4,3.8,10.086988713370998,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
448.966,-3.375514080527231,-2.6256300926210088,0.9568704012705833,0.0,0.0,1e-12,0.0,0.0,4.4,3.8,10.086988713370998,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
448.966,-3.375514080527231,-2.6256300926210088,0.9568704012705833,0.0,0.0,1e-12,0.0,0.0,4.4,3.8,10.086988713370998,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
448.966,-3.375514080527231,-2.6256300926210088,0.9568704012705833,0.0,0.0,1e-12,0.0,0.0,4.4,3.8,10.086988713370998,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
448.966,-3.375514080527231,-2.6256300926210088,0.9568704012705833,0.0,0.0,1e-12,0.0,0.0,4.4,3.8,10.086988713370998,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
448.966,-3.375514080527231,-2.6256300926210088,0.9568704012705833,0.0,0.0,1e-12,0.0,0.0,4.4,3.8,10.086988713370998,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
448.966,-3.375514080527231,-2.6256300926210088,0.9568704012705833,0.0,0.0,1e-12,0.0,0.0,4.4,3.8,10.086988713370998,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
448.966,-3.375514080527231,-2.6256300926210088,0.9568704012705833,0.0,0.0,1e-12,0.0,0.0,4.4,3.8,10.086988713370998,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
449.263,-3.33451768664624,-2.5967453447540136,0.9500997115234845,0.0,0.0,1e-12,0.0,0.0,4.4,3.8,10.036987339370098,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
