diag_stamp,log_stamp,detected,true_available,true_x,true_y,true_yaw,state_available,state_x,state_y,state_yaw,state_pos_error,state_yaw_error_deg,obs_u,obs_v,obs_yaw,obs_yaw_error_deg,pixel_pose_available,pixel_pose_stamp,pixel_pose_u,pixel_pose_v,pixel_pose_yaw,pixel_pose_age_s,u_red,v_red,red_area_px,u_blue,v_blue,blue_area_px,separation_px,border_margin_px,perception_backend,seed
668.684,0.058,1,1,-3.9999999999959317,-1.671961664603248e-23,-4.891550743412523e-12,1,-3.9999999999959326,1.107958935620287e-14,-4.891550743412523e-12,1.1115132098981006e-14,0.0,325.7452694671414,374.30358443962695,-4.891550743412523e-12,0.0,1,668.697,325.7452694671414,374.30358443962695,-4.891550743412523e-12,-0.013000000000033651,nan,nan,nan,nan,nan,nan,nan,325.7452694671414,homography,0
668.704,0.065,1,1,-3.9999999999959317,-1.671961664638417e-23,-4.8915507431775594e-12,1,-3.9999999999959326,1.107958935620287e-14,-4.8915507431775594e-12,1.1115132098981006e-14,0.0,325.7452694671414,374.30358443962695,-4.8915507431775594e-12,0.0,1,0.065,325.7452694671414,374.30358443962695,-4.8915507431775594e-12,668.6389999999999,nan,nan,nan,nan,nan,nan,nan,325.7452694671414,homography,0
668.724,668.7460000000001,1,1,-3.9999999999959317,-1.6719616643558976e-23,-4.891550728745615e-12,1,-3.9999999999959326,1.107958935620287e-14,-4.8915507431775594e-12,1.1115132098981006e-14,-8.2688951273412065e-19,325.7452694671414,374.30358443962695,-4.891550727420889e-12,7.590119231211643e-20,1,668.725,325.7452694671414,374.30358443962695,-4.891550727420889e-12,-0.0009999999999763531,nan,nan,nan,nan,nan,nan,nan,325.7452694671414,homography,0
668.744,668.7470000000001,1,1,-3.9999999999959317,-1.6719616643558976e-23,-4.891550728745615e-12,1,-3.9999999999959326,1.107958935620287e-14,-4.891550727420889e-12,1.1115132098981006e-14,7.590119231211643e-20,325.7452694671414,374.30358443962695,-4.891550728745615e-12,0.0,1,668.746,325.7452694671414,374.30358443962695,-4.891550728745615e-12,-0.0019999999999527063,nan,nan,nan,nan,nan,nan,nan,325.7452694671414,homography,0
668.764,668.774,1,1,-3.9999999999959317,-1.6719616642869686e-23,-4.891550719257706e-12,1,-3.9999999999959326,1.107958935620287e-14,-4.891550728745615e-12,1.1115132098981006e-14,-5.436171217305214e-19,325.7452694671414,374.30358443962695,-4.891550719257706e-12,0.0,1,668.774,325.7452694671414,374.30358443962695,-4.891550719257706e-12,-0.009999999999990905,nan,nan,nan,nan,nan,nan,nan,325.7452694671414,homography,0
668.784,0.128,1,1,-3.9999999999959317,-1.671961663726978e-23,-4.89155070920128e-12,1,-3.9999999999959326,1.107958935620287e-14,-4.891550719257706e-12,1.1115132098981006e-14,-5.761907946707467e-19,325.7452694671414,374.30358443962695,-4.891550722939207e-12,-7.871252414462802e-19,1,668.803,325.7452694671414,374.30358443962695,-4.891550722939207e-12,-0.019000000000005457,nan,nan,nan,nan,nan,nan,nan,325.7452694671414,homography,0
668.804,0.129,1,1,-3.9999999999959317,-1.671961663726978e-23,-4.89155070920128e-12,1,-3.9999999999959326,1.107958935620287e-14,-4.891550722939207e-12,1.1115132098981006e-14,-7.871252414462802e-19,325.7452694671414,374.30358443962695,-4.89155070920128e-12,0.0,1,0.127,325.7452694671414,374.30358443962695,-4.89155070920128e-12,668.677,nan,nan,nan,nan,nan,nan,nan,325.7452694671414,homography,0
668.824,668.844,1,1,-3.9999999999959317,-1.6719616637173605e-23,-4.891550712904892e-12,1,-3.9999999999959326,1.107958935620287e-14,-4.89155070920128e-12,1.1115132098981006e-14,2.1220135577180196e-19,325.7452694671414,374.30358443962695,-4.891550712904892e-12,0.0,1,0.14900000000000002,325.7452694671414,374.30358443962695,-4.891550712904892e-12,668.675,nan,nan,nan,nan,nan,nan,nan,325.7452694671414,homography,0
668.844,0.166,1,1,-3.9999999999959317,-1.6719616633801468e-23,-4.891550700263513e-12,1,-3.9999999999959326,1.107958935620287e-14,-4.891550712904892e-12,1.1115132098981006e-14,-7.242976539336361e-19,325.7452694671414,374.30358443962695,-4.891550700263513e-12,0.0,1,0.164,325.7452694671414,374.30358443962695,-4.891550700263513e-12,668.6800000000001,nan,nan,nan,nan,nan,nan,nan,325.7452694671414,homography,0
668.864,0.197,1,1,-3.9999999999959317,-1.6719616635349262e-23,-4.891550690273421e-12,1,-3.9999999999959326,1.107958935620287e-14,-4.891550700263513e-12,1.1115132098981006e-14,-5.723901139651033e-19,325.7452694671414,374.30358443962695,-4.891550690273421e-12,0.0,1,0.197,325.7452694671414,374.30358443962695,-4.891550690273421e-12,668.667,nan,nan,nan,nan,nan,nan,nan,325.7452694671414,homography,0
668.884,668.912,1,1,-3.9999999999959317,-1.671961663818055e-23,-4.89155068214768e-12,1,-3.9999999999959326,1.107958935620287e-14,-4.891550685872925e-12,1.1115132098981006e-14,-2.1344081885294287e-19,325.7452694671414,374.30358443962695,-4.891550685872925e-12,-2.1344081885294287e-19,1,668.897,325.7452694671414,374.30358443962695,-4.891550685872925e-12,-0.013000000000033651,nan,nan,nan,nan,nan,nan,nan,325.7452694671414,homography,0
668.904,668.9720000000001,1,1,-3.9999999999959317,-1.6719616633758747e-23,-4.891550673964518e-12,1,-3.9999999999959326,1.107958935620287e-14,-4.891550685872925e-12,1.1115132098981006e-14,-6.823014697196621e-19,325.7452694671414,374.30358443962695,-4.89155068214768e-12,-4.688606508667193e-19,1,0.227,325.7452694671414,374.30358443962695,-4.89155068214768e-12,668.677,nan,nan,nan,nan,nan,nan,nan,325.7452694671414,homography,0
668.924,0.265,1,1,-3.9999999999959317,-1.6719616631289072e-23,-4.891550652602807e-12,1,-3.9999999999959326,1.107958935620287e-14,-4.89155068214768e-12,1.1115132098981006e-14,-1.6927965642186983e-18,325.7452694671414,374.30358443962695,-4.891550673964518e-12,-1.223935913351979e-18,1,668.929,325.7452694671414,374.30358443962695,-4.891550673964518e-12,-0.0049999999999954525,nan,nan,nan,nan,nan,nan,nan,325.7452694671414,homography,0
668.944,0.265,1,1,-3.9999999999959317,-1.6719616632147932e-23,-4.891550638500804e-12,1,-3.9999999999959326,1.107958935620287e-14,-4.891550673964518e-12,1.1115132098981006e-14,-2.0319211610911093e-18,325.7452694671414,374.30358443962695,-4.891550652602807e-12,-8.079852477391304e-19,1,668.977,325.7452694671414,374.30358443962695,-4.891550652602807e-12,-0.03300000000001546,nan,nan,nan,nan,nan,nan,nan,325.7452694671414,homography,0
668.964,668.979,1,1,-3.9999999999959317,-1.6719616632147932e-23,-4.891550638500804e-12,1,-3.9999999999959326,1.107958935620287e-14,-4.891550652602807e-12,1.1115132098981006e-14,-8.079852477391304e-19,325.7452694671414,374.30358443962695,-4.891550638500804e-12,0.0,1,0.262,325.7452694671414,374.30358443962695,-4.891550638500804e-12,668.7020000000001,nan,nan,nan,nan,nan,nan,nan,325.7452694671414,homography,0
668.984,0.29100000000000004,1,1,-3.9999999999959317,-1.6719616631950993e-23,-4.891550614972459e-12,1,-3.9999999999959326,1.107958935620287e-14,-4.891550638500804e-12,1.1115132098981006e-14,-1.3480748519867452e-18,325.7452694671414,374.30358443962695,-4.891550623044314e-12,-4.624832013941066e-19,1,0.29100000000000004,325.7452694671414,374.30358443962695,-4.891550623044314e-12,668.693,nan,nan,nan,nan,nan,nan,nan,325.7452694671414,homography,0
669.004,0.29100000000000004,1,1,-3.9999999999959317,-1.6719616631950993e-23,-4.891550614972459e-12,1,-3.9999999999959326,1.107958935620287e-14,-4.891550623044314e-12,1.1115132098981006e-14,-4.624832013941066e-19,325.7452694671414,374.30358443962695,-4.891550614972459e-12,0.0,1,0.29100000000000004,325.7452694671414,374.30358443962695,-4.891550614972459e-12,668.713,nan,nan,nan,nan,nan,nan,nan,325.7452694671414,homography,0
