diag_stamp,log_stamp,detected,true_available,true_x,true_y,true_yaw,state_available,state_x,state_y,state_yaw,state_pos_error,state_yaw_error_deg,obs_u,obs_v,obs_yaw,obs_yaw_error_deg,pixel_pose_available,pixel_pose_stamp,pixel_pose_u,pixel_pose_v,pixel_pose_yaw,pixel_pose_age_s,u_red,v_red,red_area_px,u_blue,v_blue,blue_area_px,separation_px,border_margin_px,seed
6.195,0.0,1,0,nan,nan,nan,1,-4.99999999999593,2.4000000000000123,-4.891721571876476e-12,nan,nan,125.98269624522268,319.6989517684045,-4.891721567706733e-12,nan,1,6.208,125.98269624522268,319.6989517684045,-4.891721567706733e-12,0.0,nan,nan,nan,nan,nan,nan,nan,125.98269624522268,0
6.215,0.0,1,0,nan,nan,nan,1,-4.99999999999593,2.4000000000000123,-4.891721567706733e-12,nan,nan,125.98269624522268,319.6989517684045,-4.891721578181812e-12,nan,1,6.216,125.98269624522268,319.6989517684045,-4.891721578181812e-12,0.0,nan,nan,nan,nan,nan,nan,nan,125.98269624522268,0
6.235,0.0,1,0,nan,nan,nan,1,-4.99999999999593,2.4000000000000123,-4.891721578181812e-12,nan,nan,125.98269624522268,319.6989517684045,-4.891721578890303e-12,nan,1,6.237,125.98269624522268,319.6989517684045,-4.891721578890303e-12,0.0,nan,nan,nan,nan,nan,nan,nan,125.98269624522268,0
6.255,0.0,1,0,nan,nan,nan,1,-4.99999999999593,2.4000000000000123,-4.891721578890303e-12,nan,nan,125.98269624522268,319.6989517684045,-4.891721568966127e-12,nan,1,6.256,125.98269624522268,319.6989517684045,-4.891721568966127e-12,0.0,nan,nan,nan,nan,nan,nan,nan,125.98269624522268,0
6.275,0.0,1,0,nan,nan,nan,1,-4.99999999999593,2.4000000000000123,-4.891721569263197e-12,nan,nan,125.98269624522268,319.6989517684045,-4.891721569263197e-12,nan,1,6.276,125.98269624522268,319.6989517684045,-4.891721569263197e-12,0.0,nan,nan,nan,nan,nan,nan,nan,125.98269624522268,0
6.295,0.0,1,0,nan,nan,nan,1,-4.99999999999593,2.4000000000000123,-4.8917215653095555e-12,nan,nan,125.98269624522268,319.6989517684045,-4.8917215653095555e-12,nan,1,6.301,125.98269624522268,319.6989517684045,-4.8917215653095555e-12,0.0,nan,nan,nan,nan,nan,nan,nan,125.98269624522268,0
6.315,0.0,1,0,nan,nan,nan,1,-4.99999999999593,2.4000000000000123,-4.8917215653095555e-12,nan,nan,125.98269624522268,319.6989517684045,-4.891721556570767e-12,nan,1,6.317,125.98269624522268,319.6989517684045,-4.891721556570767e-12,0.0,nan,nan,nan,nan,nan,nan,nan,125.98269624522268,0
6.335,0.0,1,0,nan,nan,nan,1,-4.99999999999593,2.4000000000000123,-4.891721559227004e-12,nan,nan,125.98269624522268,319.6989517684045,-4.891721559227004e-12,nan,1,6.335,125.98269624522268,319.6989517684045,-4.891721559227004e-12,0.0,nan,nan,nan,nan,nan,nan,nan,125.98269624522268,0
6.355,0.0,1,0,nan,nan,nan,1,-4.99999999999593,2.4000000000000123,-4.891721559227004e-12,nan,nan,125.98269624522268,319.6989517684045,-4.8917215567926575e-12,nan,1,6.355,125.98269624522268,319.6989517684045,-4.8917215567926575e-12,0.0,nan,nan,nan,nan,nan,nan,nan,125.98269624522268,0
6.375,0.0,1,0,nan,nan,nan,1,-4.99999999999593,2.4000000000000123,-4.8917215567926575e-12,nan,nan,125.98269624522268,319.6989517684045,-4.891721554462884e-12,nan,1,6.375,125.98269624522268,319.6989517684045,-4.891721554462884e-12,0.0,nan,nan,nan,nan,nan,nan,nan,125.98269624522268,0
6.395,0.0,1,0,nan,nan,nan,1,-4.99999999999593,2.4000000000000123,-4.891721554462884e-12,nan,nan,125.98269624522268,319.6989517684045,-4.891721546479244e-12,nan,1,6.395,125.98269624522268,319.6989517684045,-4.891721546479244e-12,0.0,nan,nan,nan,nan,nan,nan,nan,125.98269624522268,0
6.415,0.0,1,0,nan,nan,nan,1,-4.99999999999593,2.4000000000000123,-4.891721546479244e-12,nan,nan,125.98269624522268,319.6989517684045,-4.891721537503882e-12,nan,1,6.416,125.98269624522268,319.6989517684045,-4.891721537503882e-12,0.0,nan,nan,nan,nan,nan,nan,nan,125.98269624522268,0
6.4350000000000005,0.0,1,0,nan,nan,nan,1,-4.99999999999593,2.4000000000000123,-4.891721542826048e-12,nan,nan,125.98269624522268,319.6989517684045,-4.891721542826048e-12,nan,1,6.442,125.98269624522268,319.6989517684045,-4.891721542826048e-12,0.0,nan,nan,nan,nan,nan,nan,nan,125.98269624522268,0
6.455,0.0,1,0,nan,nan,nan,1,-4.99999999999593,2.4000000000000123,-4.891721542826048e-12,nan,nan,125.98269624522268,319.6989517684045,-4.891721543934882e-12,nan,1,6.456,125.98269624522268,319.6989517684045,-4.891721543934882e-12,0.0,nan,nan,nan,nan,nan,nan,nan,125.98269624522268,0
6.475,0.0,1,0,nan,nan,nan,1,-4.99999999999593,2.4000000000000123,-4.89172154187883e-12,nan,nan,125.98269624522268,319.6989517684045,-4.89172154187883e-12,nan,1,6.477,125.98269624522268,319.6989517684045,-4.89172154187883e-12,0.0,nan,nan,nan,nan,nan,nan,nan,125.98269624522268,0
6.495,0.0,1,0,nan,nan,nan,1,-4.99999999999593,2.4000000000000123,-4.89172154187883e-12,nan,nan,125.98269624522268,319.6989517684045,-4.8917215362757026e-12,nan,1,6.495,125.98269624522268,319.6989517684045,-4.8917215362757026e-12,0.0,nan,nan,nan,nan,nan,nan,nan,125.98269624522268,0
6.515,6.518000000000001,1,0,nan,nan,nan,1,-4.99999999999593,2.4000000000000123,-4.89172153901445e-12,nan,nan,125.98269624522268,319.6989517684045,-4.89172153901445e-12,nan,1,6.515,125.98269624522268,319.6989517684045,-4.89172153901445e-12,0.003000000000001002,nan,nan,nan,nan,nan,nan,nan,125.98269624522268,0
