stamp,x,y,yaw,cov_x,cov_y,cov_yaw,cmd_v,cmd_w,goal_x,goal_y,goal_dist,plan_points,plan_length,seed
10.492,0.8164175491700869,0.8089416539923865,0.8004381195567423,0.0,0.0,1e-12,0.21999780481127856,-0.008934493671581833,3.0,3.0,3.0933426895806404,63,4.3133511555602455,0
10.587,0.8317452325193002,0.8247230411126246,0.7995332648606868,0.0,0.0,1e-12,0.21999800682218343,-0.008513477713141038,3.0,3.0,3.0713447518259964,63,4.3133511555602455,0
10.686,0.8470866977366941,0.8404910707393485,0.7986873957026823,0.0,0.0,1e-12,0.219998229471999,-0.008023896980750456,3.0,3.0,3.049346569778315,63,4.3133511555602455,0
10.781,0.8624412060914626,0.8562464289202801,0.7978880845847852,0.0,0.0,1e-12,0.21999847034482894,-0.007458142453780514,3.0,3.0,3.0273481747121145,63,4.3133511555602455,0
10.891,0.8778078875630678,0.8719899449257639,0.7971395619651291,0.0,0.0,1e-12,0.21999854063157903,-0.007284778737327358,3.0,3.0,3.005349589746022,63,4.3133511555602455,0
10.99,0.8931860869248838,0.8877222298241184,0.7964252627651233,0.0,0.0,1e-12,0.21999873997631222,-0.00676897975535784,3.0,3.0,2.983350841370501,54,3.6655686093828272,0
11.089,0.9085751880181657,0.9034438744955676,0.795754993897589,0.0,0.0,1e-12,0.21999894290519023,-0.006199987261979345,3.0,3.0,2.9613519432116484,54,3.6655686093828272,0
11.188,0.9239744747328916,0.9191555642219765,0.7951279262293225,0.0,0.0,1e-12,0.21999901704076247,-0.005978628512556705,3.0,3.0,2.9393529130522817,54,3.6655686093828272,0
11.287,0.9393833725900477,0.9348578443632568,0.7945354012237693,0.0,0.0,1e-12,0.21999917589319987,-0.005474261476641429,3.0,3.0,2.917353768082702,54,3.6655686093828272,0
11.386,0.9548012754728182,0.9505512997307879,0.7939813248660238,0.0,0.0,1e-12,0.2199992352280523,-0.005273509753444872,3.0,3.0,2.895354520234573,54,3.6655686093828272,0
11.485,0.970227572027921,0.9662365197344716,0.7934641696544101,0.0,0.0,1e-12,0.21999935485042219,-0.004843552014234698,3.0,3.0,2.873355182189877,54,3.6655686093828272,0
11.584,0.985661739833262,0.981914007190853,0.792979716024534,0.0,0.0,1e-12,0.21999939957564585,-0.004672646232080968,3.0,3.0,2.8513557653761907,54,3.6655686093828272,0
11.683,1.0011032859367048,0.9975842372348537,0.7925220280162184,0.0,0.0,1e-12,0.21999949286872614,-0.004294315348923439,3.0,3.0,2.8293562802276,54,3.6655686093828272,0
11.782,1.0165517960775776,1.0132476107562265,0.7920902289066805,0.0,0.0,1e-12,0.21999952857479124,-0.004140379328794852,3.0,3.0,2.8073567343337267,54,3.6655686093828272,0
11.881,1.032006873709362,1.0289045123789589,0.7916837156298604,0.0,0.0,1e-12,0.2199996036786016,-0.003796273375447745,3.0,3.0,2.7853571344528207,54,3.6655686093828272,0
11.98,1.0474680987201899,1.044555351655637,0.7913039798022042,0.0,0.0,1e-12,0.21999964890311108,-0.0035731167057073687,3.0,3.0,2.76335748651056,54,3.6655686093828272,0
12.075,1.059841285968228,1.057071869083811,0.7910127861525089,0.0,0.0,1e-12,0.21999967464986353,-0.003439610002607063,3.0,3.0,2.745757738319041,54,3.6655686093828272,0
12.178,1.0753127217796377,1.0727126254067685,0.7906713894889019,0.0,0.0,1e-12,0.21999971976196844,-0.0031922525021745862,3.0,3.0,2.723758018475536,54,3.6655686093828272,0
12.275,1.0907893395846082,1.0883482596211143,0.7903514174291862,0.0,0.0,1e-12,0.21999974628912403,-0.003037408732557756,3.0,3.0,2.7017582649706835,54,3.6655686093828272,0
12.389,1.109367622728017,1.1071047477777431,0.7899947318205364,0.0,0.0,1e-12,0.21999977467680518,-0.002862441635971491,3.0,3.0,2.6753585221189833,50,3.3769442294902627,0
12.475,1.1217567703090008,1.1196054841822707,0.7897701996506271,0.0,0.0,1e-12,0.21999980552238885,-0.0026593070855689405,3.0,3.0,2.6577586732052008,50,3.3769442294902627,0
